date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:32	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2021%20Apr%202022%2002:49:30%20GMT	http://pospal.com.au/robots.txt		(from )
12:49:33	133199/133199	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Apr%202022%2002:49:31%20GMT	http://pospal.com.au/taptouch/	C:/My%20Web%20Sites/taptouch/pospal.com.au/taptouch/index.html	(from )
12:49:34	78058/78058	---M-Z	200	added ('OK')	text/css	etag:%22130ea-5c7af79209d0d-gzip%22	http://pospal.com.au/wp-content/plugins/content-views-query-and-display-post-page/public/assets/css/cv.css?ver=2.4.0.2	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/content-views-query-and-display-post-page/public/assets/css/cv749c.css	(from http://pospal.com.au/taptouch/)
12:49:35	41045/41045	---M-Z	200	added ('OK')	text/css	etag:%22a055-5a7cc193abc80-gzip%22	http://pospal.com.au/wp-includes/css/dist/block-library/style.min.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-includes/css/dist/block-library/style.min48f5.css	(from http://pospal.com.au/taptouch/)
12:49:36	66058/66058	---M-Z	200	added ('OK')	text/css	etag:%221020a-5d9e45a967797-gzip%22	http://pospal.com.au/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.5.16	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style60a8.css	(from http://pospal.com.au/taptouch/)
12:49:37	3798/3798	---M-Z	200	added ('OK')	text/css	etag:%22ed6-5a4cae42c2280-gzip%22	http://pospal.com.au/wp-content/plugins/builder-responsive-pricing-tables/assets/css/pricing-tables.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/builder-responsive-pricing-tables/assets/css/pricing-tables48f5.css	(from http://pospal.com.au/taptouch/)
12:49:37	364/364	---M-Z	200	added ('OK')	text/css	etag:%2216c-5d16a7b8377cc-gzip%22	http://pospal.com.au/wp-content/plugins/jquery-collapse-o-matic/css/core_style.css?ver=1.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/jquery-collapse-o-matic/css/core_style5152.css	(from http://pospal.com.au/taptouch/)
12:49:37	862/862	---M-Z	200	added ('OK')	text/css	etag:%2235e-5d16a7b8377cc-gzip%22	http://pospal.com.au/wp-content/plugins/jquery-collapse-o-matic/css/light_style.css?ver=1.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/jquery-collapse-o-matic/css/light_stylef24c.css	(from http://pospal.com.au/taptouch/)
12:49:38	59141/59141	---M-Z	200	added ('OK')	text/css	etag:%22e705-5a4dd63b3aac0-gzip%22	http://pospal.com.au/wp-content/plugins/revslider/public/assets/css/rs6.css?ver=6.2.3	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/revslider/public/assets/css/rs618cf.css	(from http://pospal.com.au/taptouch/)
12:49:38	68/68	---M--	200	added ('OK')	text/css	etag:%2244-5c83cd1949345%22	http://pospal.com.au/wp-content/plugins/svg-support/css/svgs-attachment.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/svg-support/css/svgs-attachment48f5.css	(from http://pospal.com.au/taptouch/)
12:49:38	17639/17639	---M-Z	200	added ('OK')	text/css	etag:%2244e7-5d9e45aa132ff-gzip%22	http://pospal.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.2.5	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-layoutd19b.css	(from http://pospal.com.au/taptouch/)
12:49:40	6758/6758	---M-Z	200	added ('OK')	text/css	etag:%221a66-5d9e45aa0218f-gzip%22	http://pospal.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.2.5	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreend19b.css	(from http://pospal.com.au/taptouch/)
12:49:40	62511/62511	---M-Z	200	added ('OK')	text/css	etag:%22f42f-5d9e45aa125fa-gzip%22	http://pospal.com.au/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.2.5	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woocommerce/assets/css/woocommerced19b.css	(from http://pospal.com.au/taptouch/)
12:49:40	428285/428285	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Apr%202022%2003:50:19%20GMT	https://i.ibb.co/yNQvzLw/mainpic.png	C:/My%20Web%20Sites/taptouch/i.ibb.co/yNQvzLw/mainpic.png	(from http://pospal.com.au/taptouch/)
12:49:42	2796/2796	---M-Z	200	added ('OK')	text/css	etag:%22aec-5c694083cea77-gzip%22	http://pospal.com.au/wp-content/plugins/yada-wiki/css/yadawiki.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/yada-wiki/css/yadawiki48f5.css	(from http://pospal.com.au/taptouch/)
12:49:42	236/236	---M-Z	200	added ('OK')	text/css	etag:%22ec-5c66d3f95dae3-gzip%22	http://pospal.com.au/wp-content/plugins/woo-paypalplus/public/css/front.min.css?ver=1625547404	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woo-paypalplus/public/css/front.minb67b.css	(from http://pospal.com.au/taptouch/)
12:49:42	30999/30999	---M-Z	200	added ('OK')	text/css	etag:%227917-5d16e66fdbfb4-gzip%22	http://pospal.com.au/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from http://pospal.com.au/taptouch/)
12:49:43	9619/9619	---M-Z	200	added ('OK')	text/css	etag:%222593-5d16e6ff3c3cf-gzip%22	http://pospal.com.au/wp-content/plugins/woolentor-addons/assets/css/simple-line-icons.css?ver=2.1.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woolentor-addons/assets/css/simple-line-icons3c94.css	(from http://pospal.com.au/taptouch/)
12:49:43	16895/16895	---M-Z	200	added ('OK')	text/css	etag:%2241ff-5d16e6ff3c3cf-gzip%22	http://pospal.com.au/wp-content/plugins/woolentor-addons/assets/css/htflexboxgrid.css?ver=2.1.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woolentor-addons/assets/css/htflexboxgrid3c94.css	(from http://pospal.com.au/taptouch/)
12:49:43	1729/1729	---M-Z	200	added ('OK')	text/css	etag:%226c1-5d16e6ff3c3cf-gzip%22	http://pospal.com.au/wp-content/plugins/woolentor-addons/assets/css/slick.css?ver=2.1.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woolentor-addons/assets/css/slick3c94.css	(from http://pospal.com.au/taptouch/)
12:49:43	143441/143441	---M-Z	200	added ('OK')	text/css	etag:%2223051-5d16e6ff3d0d4-gzip%22	http://pospal.com.au/wp-content/plugins/woolentor-addons/assets/css/woolentor-widgets.css?ver=2.1.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woolentor-addons/assets/css/woolentor-widgets3c94.css	(from http://pospal.com.au/taptouch/)
12:49:44	149815/149815	---M-Z	200	added ('OK')	text/css	etag:%2224937-5b091eb5c6240-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/bootstrap.min.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/bootstrap.min48f5.css	(from http://pospal.com.au/taptouch/)
12:49:45	72259/72259	---M-Z	200	added ('OK')	text/css	etag:%2211a43-5909a339f6240-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/animate.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/animate48f5.css	(from http://pospal.com.au/taptouch/)
12:49:45	2017/2017	---M-Z	200	added ('OK')	text/css	etag:%227e1-5909a33aea480-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/color-variation.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/color-variation48f5.css	(from http://pospal.com.au/taptouch/)
12:49:45	1171/1171	---M-Z	200	added ('OK')	text/css	etag:%22493-5909a33aea480-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/elements.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/elements48f5.css	(from http://pospal.com.au/taptouch/)
12:49:46	8376/8376	---M-Z	200	added ('OK')	text/css	etag:%2220b8-5909a339f6240-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/fakeLoader.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/fakeLoader48f5.css	(from http://pospal.com.au/taptouch/)
12:49:46	109038/109038	---M-Z	200	added ('OK')	text/css	etag:%221a9ee-5909a339f6240-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/icofont.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/icofont48f5.css	(from http://pospal.com.au/taptouch/)
12:49:46	5383/5383	---M-Z	200	added ('OK')	text/css	etag:%221507-5d16e6ff3ddda-gzip%22	http://pospal.com.au/wp-content/plugins/woolentor-addons/assets/lib/css/magnific-popup.css?ver=2.1.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/woolentor-addons/assets/lib/css/magnific-popup3c94.css	(from http://pospal.com.au/taptouch/)
12:49:47	2509/2509	---M-Z	200	added ('OK')	text/css	etag:%229cd-5909a339f6240-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/slicknav.min.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/slicknav.min48f5.css	(from http://pospal.com.au/taptouch/)
12:49:47	17762/17762	---M-Z	200	added ('OK')	text/css	etag:%224562-5909a33aea480-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/swiper.min48f5.css	(from http://pospal.com.au/taptouch/)
12:49:47	24042/24042	---M-Z	200	added ('OK')	text/css	etag:%225dea-5909a339f6240-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/blog.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/blog48f5.css	(from http://pospal.com.au/taptouch/)
12:49:47	91686/91686	---M-Z	200	added ('OK')	text/css	etag:%2216626-5b17045ad6bc0-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/style.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/style48f5.css	(from http://pospal.com.au/taptouch/)
12:49:48	18423/18423	---M-Z	200	added ('OK')	text/css	etag:%2247f7-5909a339f6240-gzip%22	http://pospal.com.au/wp-content/themes/appai/assets/css/responsive.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/responsive48f5.css	(from http://pospal.com.au/taptouch/)
12:49:48	497/497	---M-Z	200	added ('OK')	text/css	etag:%221f1-5a9f822992a40-gzip%22	http://pospal.com.au/wp-content/themes/appai/style.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/style48f5.css	(from http://pospal.com.au/taptouch/)
12:49:48	0/0	---M--	200	added ('OK')	text/css	etag:%220-5909a339f6240%22	http://pospal.com.au/wp-content/themes/appai/assets/css/theme_options_style.css?ver=5.3.6	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/themes/appai/assets/css/theme_options_style48f5.css	(from http://pospal.com.au/taptouch/)
12:49:48	58578/58578	---MCZ	200	added ('OK')	text/css	etag:W/%2276cb46c10b6c0293433b371bae2414b2%22	https://use.fontawesome.com/releases/v5.13.0/css/all.css	C:/My%20Web%20Sites/taptouch/use.fontawesome.com/releases/v5.13.0/css/all.css	(from http://pospal.com.au/taptouch/)
12:49:48	18900/18900	---M-Z	200	added ('OK')	text/css	etag:%2249d4-5d16e66fdf3ca-gzip%22	http://pospal.com.au/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.13.0	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min05c8.css	(from http://pospal.com.au/taptouch/)
12:49:49	3854/3854	---M-Z	200	added ('OK')	text/css	etag:%22f0e-5d16e66fd3d7f-gzip%22	http://pospal.com.au/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.4.8	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/elementor/assets/css/frontend-legacy.minb045.css	(from http://pospal.com.au/taptouch/)
12:49:49	131479/131479	---M-Z	200	added ('OK')	text/css	etag:%2220197-5d16e66fd3079-gzip%22	http://pospal.com.au/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.4.8	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/plugins/elementor/assets/css/frontend.minb045.css	(from http://pospal.com.au/taptouch/)
12:49:49	1024/1024	---M-Z	200	added ('OK')	text/css	etag:%22400-5d16e864ceb5c-gzip%22	http://pospal.com.au/wp-content/uploads/elementor/css/post-15424.css?ver=1637647513	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/uploads/elementor/css/post-1542458ed.css	(from http://pospal.com.au/taptouch/)
12:49:49	9475/9475	---M-Z	200	added ('OK')	text/css	etag:%222503-5d16e86555cd4-gzip%22	http://pospal.com.au/wp-content/uploads/elementor/css/global.css?ver=1637647513	C:/My%20Web%20Sites/taptouch/pospal.com.au/wp-content/uploads/elementor/css/global58ed.css	(from http://pospal.com.au/taptouch/)
